ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR,,Voltage,Percentage,y = Ax^3 + Bx^2 + Cx +D
790,25490,,,,,,,,,,,,,,6104,9500,,,10,A
776,25030,,,,,,,,,,,,,,5786,9000,,,14,B
760,24530,,,,,,,,,,,,,,5466,8500,,,15,C
747,24080,,,,,,,,,,,,,,5143,8000,,,16,D
729,23500,,,,,,,,,,,,,,4820,7500,,,17,
712,22980,,,,,,,,,,,,,,4501,7000,,,18,
697,22480,,,,,,,,,,,,,,4179,6500,,,19,
684,22050,,,,,,,,,,,,,,3855,6000,,,20,
667,21490,,,,,,,,,,,,,,3534,5500,,,21,
653,21050,,,,,,,,,,,,,,3207,5000,,,22,
636,20500,,,,,,,,,,,,,,2889,4500,,,23,
622,20050,,,,,,,,,,,,,,2564,4000,,,24,
605,19510,,,,,,,,,,,,,,2243,3500,,,25,
589,18990,,,,,,,,,,,,,,1919,3000,,,26,
573,18480,,,,,,,,,,,,,,1593,2500,,,27,
559,18040,,,,,,,,,,,,,,1265,2000,,22768,28,
542,17500,,,,,,,,,,,,,,934,1500,,22820,29,
529,17070,,,,,,,,,,,,,,595,1000,,22835,30,
512,16540,,,,,,,,,,,,,,279,500,,22850,31,
498,16070,,,,,,,,,,,,,,,,,22865,32,
,,,,,,,,,,,,,,,m,1.5452,,22875,33,
,,,,,,,,,,,,,,,c,49.307,,22880,34,
m,32.214,,,,,,,,,,,,,,,,,22888,35,
c,55.385,,,,,,,,,,,,,,,,,22901,36,
,,,,,,,,,,,,,,,,,,22916,37,
,,,,,,,,,,,,,,,,,,22931,38,
,,,,,,,,,,,,,,,,,,22939,39,
,,,,,,,,,,,,,,,,,,22953,40,
,,,,,,,,,,,,,,,,,,22968,41,
,,,,,,,,,,,,,,,,,,22991,42,
,,,,,,,,,,,,,,,,,,23006,43,
,,,,,,,,,,,,,,,,,,23021,44,
,,,,,,,,,,,,,,,,,,23043,45,
,,,,,,,,,,,,,,,,,,23059,46,
,,,,,,,,,,,,,,,,,,23073,47,
,,,,,,,,,,,,,,,,,,23097,48,
,,,,,,,,,,,,,,,,,,23115,49,
,,,,,,,,,,,,,,,,,,23136,50,
,,,,,,,,,,,,,,,,,,23166,51,
,,,,,,,,,,,,,,,,,,23186,52,
,,,,,,,,,,,,,,,,,,23218,53,
,,,,,,,,,,,,,,,,,,23240,54,
,,,,,,,,,,,,,,,,,,23270,55,
,,,,,,,,,,,,,,,,,,23313,56,
,,,,,,,,,,,,,,,,,,23330,57,
,,,,,,,,,,,,,,,,,,23357,58,
,,,,,,,,,,,,,,,,,,23368,59,
,,,,,,,,,,,,,,,,,,23402,60,
,,,,,,,,,,,,,,,,,,23430,61,
,,,,,,,,,,,,,,,,,,23472,62,
,,,,,,,,,,,,,,,,,,23510,63,
,,,,,,,,,,,,,,,,,,23534,64,
,,,,,,,,,,,,,,,,,,23569,65,
,,,,,,,,,,,,,,,,,,23603,66,
,,,,,,,,,,,,,,,,,,23627,67,
,,,,,,,,,,,,,,,,,,23665,68,
,,,,,,,,,,,,,,,,,,23694,69,
,,,,,,,,,,,,,,,,,,23726,70,
,,,,,,,,,,,,,,,,,,23779,71,
,,,,,,,,,,,,,,,,,,23815,72,
,,,,,,,,,,,,,,,,,,23834,73,
,,,,,,,,,,,,,,,,,,23869,74,
,,,,,,,,,,,,,,,,,,23906,75,
,,,,,,,,,,,,,,,,,,23950,76,
,,,,,,,,,,,,,,,,,,23990,77,
,,,,,,,,,,,,,,,,,,24030,78,
,,,,,,,,,,,,,,,,,,24064,79,
,,,,,,,,,,,,,,,,,,24116,80,
,,,,,,,,,,,,,,,,,,24180,81,
,,,,,,,,,,,,,,,,,,24230,82,
,,,,,,,,,,,,,,,,,,24288,83,
,,,,,,,,,,,,,,,,,,24340,84,
,,,,,,,,,,,,,,,,,,24384,85,
,,,,,,,,,,,,,,,,,,24440,86,
,,,,,,,,,,,,,,,,,,24488,87,
,,,,,,,,,,,,,,,,,,24540,88,
,,,,,,,,,,,,,,,,,,24590,89,
,,,,,,,,,,,,,,,,,,24655,90,
,,,,,,,,,,,,,,,,,,24721,91,
,,,,,,,,,,,,,,,,,,24799,92,
,,,,,,,,,,,,,,,,,,24867,93,
,,,,,,,,,,,,,,,,,,24921,94,
,,,,,,,,,,,,,,,,,,24957,95,
,,,,,,,,,,,,,,,,,,25025,96,
,,,,,,,,,,,,,,,,,,25040,97,
,,,,,,,,,,,,,,,,,,25055,98,
,,,,,,,,,,,,,,,,,,25070,99,
,,,,,,,,,,,,,,,,,,25095,100,
